Year,Country,Code,CPI value,Rank
2003,Finland,FIN,9.7,1
2003,Iceland,ISL,9.6,2
2003,Denmark,DNK,9.5,3
2003,New Zealand,NZL,9.5,3
2003,Singapore,SGP,9.4,5
2003,Sweden,SWE,9.3,6
2003,Netherlands,NLD,8.9,7
2003,Australia,AUS,8.8,8
2003,Norway,NOR,8.8,8
2003,Switzerland,CHE,8.8,8
2003,Canada,CAN,8.7,11
2003,Luxembourg,LUX,8.7,11
2003,United Kingdom,GBR,8.7,11
2003,Austria,AUT,8,14
2003,Hong Kong,HKG,8,14
2003,Germany,DEU,7.7,16
2003,Belgium,BEL,7.6,17
2003,Ireland,IRL,7.5,18
2003,USA,USA,7.5,18
2003,Chile,CHL,7.4,20
2003,Israel,ISR,7,21
2003,Japan,JPN,7,21
2003,France,FRA,6.9,23
2003,Spain,ESP,6.9,23
2003,Portugal,PRT,6.6,25
2003,Oman,OMN,6.3,26
2003,Bahrain,BHR,6.1,27
2003,Cyprus,CYP,6.1,27
2003,Slovenia,SVN,5.9,29
2003,Botswana,BWA,5.7,30
2003,Taiwan,TWN,5.7,30
2003,Qatar,QAT,5.6,32
2003,Estonia,EST,5.5,33
2003,Uruguay,URY,5.5,33
2003,Italy,ITA,5.3,35
2003,Kuwait,KWT,5.3,35
2003,Malaysia,MYS,5.2,37
2003,United Arab Emirates,ARE,5.2,37
2003,Tunisia,TUN,4.9,39
2003,Hungary,HUN,4.8,40
2003,Lithuania,LTU,4.7,41
2003,Namibia,NAM,4.7,41
2003,Cuba,CUB,4.6,43
2003,Jordan,JOR,4.6,43
2003,Trinidad and Tobago,TTO,4.6,43
2003,Belize,BLZ,4.5,46
2003,Saudi Arabia,SAU,4.5,46
2003,Mauritius,MUS,4.4,48
2003,South Africa,ZAF,4.4,48
2003,Costa Rica,CRI,4.3,50
2003,Greece,GRC,4.3,50
2003,South Korea,KOR,4.3,50
2003,Belarus,BLR,4.2,53
2003,Brazil,BRA,3.9,54
2003,Bulgaria,BGR,3.9,54
2003,Czech Republic,CZE,3.9,54
2003,Jamaica,JAM,3.8,57
2003,Latvia,LVA,3.8,57
2003,Colombia,COL,3.7,59
2003,Croatia,HRV,3.7,59
2003,El Salvador,SLV,3.7,59
2003,Peru,PER,3.7,59
2003,Slovakia,SVK,3.7,59
2003,Mexico,MEX,3.6,64
2003,Poland,POL,3.6,64
2003,China,CHN,3.4,66
2003,Panama,PAN,3.4,66
2003,Sri Lanka,LKA,3.4,66
2003,Syria,SYR,3.4,66
2003,Bosnia & Herzegovina,BIH,3.3,70
2003,Dominican Republic,DOM,3.3,70
2003,Egypt,EGY,3.3,70
2003,Ghana,GHA,3.3,70
2003,Morocco,MAR,3.3,70
2003,Thailand,THA,3.3,70
2003,Senegal,SEN,3.2,76
2003,Turkey,TUR,3.1,77
2003,Armenia,ARM,3,78
2003,Iran,IRN,3,78
2003,Lebanon,LBN,3,78
2003,Mali,MLI,3,78
2003,Palestine,PSE,3,78
2003,India,IND,2.8,83
2003,Malawi,MWI,2.8,83
2003,Romania,ROU,2.8,83
2003,Mozambique,MOZ,2.7,86
2003,Russia,RUS,2.7,86
2003,Algeria,DZA,2.6,88
2003,Madagascar,MDG,2.6,88
2003,Nicaragua,NIC,2.6,88
2003,Yemen,YEM,2.6,88
2003,Albania,ALB,2.5,92
2003,Argentina,ARG,2.5,92
2003,Ethiopia,ETH,2.5,92
2003,Gambia,GMB,2.5,92
2003,Pakistan,PAK,2.5,92
2003,Philippines,PHL,2.5,92
2003,Tanzania,TZA,2.5,92
2003,Zambia,ZMB,2.5,92
2003,Guatemala,GTM,2.4,100
2003,Kazakhstan,KAZ,2.4,100
2003,Moldova,MDA,2.4,100
2003,Uzbekistan,UZB,2.4,100
2003,Venezuela,VEN,2.4,100
2003,Vietnam,VNM,2.4,100
2003,Bolivia,BOL,2.3,106
2003,Honduras,HND,2.3,106
2003,Macedonia,MKD,2.3,106
2003,Serbia & Montenegro,SRB & MNE,2.3,106
2003,Sudan,SDN,2.3,106
2003,Ukraine,UKR,2.3,106
2003,Zimbabwe,ZWE,2.3,106
2003,"Congo, Republic of the",COG,2.2,113
2003,Ecuador,ECU,2.2,113
2003,Iraq,IRQ,2.2,113
2003,Sierra Leone,SLE,2.2,113
2003,Uganda,UGA,2.2,113
2003,Cote d'Ivoire,CIV,2.1,118
2003,Kyrgyzstan,KGZ,2.1,118
2003,Libya,LBY,2.1,118
2003,Papua New Guinea,PNG,2.1,118
2003,Indonesia,IDN,1.9,122
2003,Kenya,KEN,1.9,122
2003,Angola,AGO,1.8,124
2003,Azerbaijan,AZE,1.8,124
2003,Cameroon,CMR,1.8,124
2003,Georgia,GEO,1.8,124
2003,Tajikistan,TJK,1.8,124
2003,Myanmar,MMR,1.6,129
2003,Paraguay,PRY,1.6,129
2003,Haiti,HTI,1.5,131
2003,Nigeria,NGA,1.4,132
2003,Bangladesh,BGD,1.3,133
